activity_comment,activity_id,assay_chembl_id,assay_description,assay_type,canonical_smiles,document_chembl_id,pchembl_value,relation,standard_relation,standard_type,standard_units,standard_value,target_chembl_id,type,units,value
,484502,CHEMBL653509,In vitro inhibitory activity against Beta-secretase 1 in human HEK293 cells,B,CC(C)[C@H](NC(=O)[C@H](C)C[C@H](O)[C@H](Cc1ccccc1)NC(=O)[C@H](C)NC(=O)[C@@H](O)CC(F)(F)F)C(=O)NCc1ccncc1,CHEMBL1146699,6.66,=,=,IC50,nM,220.0,CHEMBL4822,IC50,uM,0.22
,484505,CHEMBL653509,In vitro inhibitory activity against Beta-secretase 1 in human HEK293 cells,B,CC[C@H](C)[C@H](O)C(=O)N[C@@H](CCCF)C(=O)N[C@@H](Cc1ccccc1)[C@@H](O)C[C@@H](CCCF)C(=O)N[C@H](C(=O)NCc1ccncc1)C(C)C,CHEMBL1146699,7.17,=,=,IC50,nM,67.0,CHEMBL4822,IC50,uM,0.067
,491616,CHEMBL653509,In vitro inhibitory activity against Beta-secretase 1 in human HEK293 cells,B,CC(C)C[C@H](O)C(=O)N[C@@H](C)C(=O)N[C@@H](Cc1ccccc1)[C@@H](O)C[C@@H](C)C(=O)N[C@H](C(=O)NCc1ccncc1)C(C)C,CHEMBL1146699,6.64,=,=,IC50,nM,230.0,CHEMBL4822,IC50,uM,0.23
,492737,CHEMBL653509,In vitro inhibitory activity against Beta-secretase 1 in human HEK293 cells,B,CC[C@H](C[C@H](O)[C@H](Cc1ccccc1)NC(=O)[C@H](C)NC(=O)[C@@H](O)C(C)C)C(=O)N[C@H](C(=O)N[C@@H](C)c1ccccc1)C(C)C,CHEMBL1146699,7.22,=,=,IC50,nM,60.0,CHEMBL4822,IC50,uM,0.06
,496158,CHEMBL653509,In vitro inhibitory activity against Beta-secretase 1 in human HEK293 cells,B,CC(C)[C@H](NC(=O)OC(C)(C)C)C(=O)N[C@@H](C)C(=O)N[C@@H](Cc1ccccc1)[C@@H](O)C[C@@H](C)C(=O)N[C@H](C(=O)NCc1ccncc1)C(C)C,CHEMBL1146699,7.09,=,=,IC50,nM,82.0,CHEMBL4822,IC50,nM,82.0
,496162,CHEMBL653509,In vitro inhibitory activity against Beta-secretase 1 in human HEK293 cells,B,CC(C)[C@H](O)C(=O)N[C@@H](C)C(=O)N[C@@H](Cc1ccccc1)[C@@H](O)C[C@@H](C)C(=O)N[C@H](C(=O)NCc1ccncc1)C(C)C,CHEMBL1146699,6.89,=,=,IC50,nM,130.0,CHEMBL4822,IC50,nM,130.0
,497258,CHEMBL653509,In vitro inhibitory activity against Beta-secretase 1 in human HEK293 cells,B,CC[C@H](C)[C@H](O)C(=O)N[C@@H](C)C(=O)N[C@@H](Cc1ccccc1)[C@@H](O)C[C@@H](C)C(=O)N[C@H](C(=O)NCc1ccncc1)C(C)C,CHEMBL1146699,7.46,=,=,IC50,nM,35.0,CHEMBL4822,IC50,uM,0.035
,499669,CHEMBL653509,In vitro inhibitory activity against Beta-secretase 1 in human HEK293 cells,B,CC(C)[C@H](O)C(=O)N[C@@H](CO)C(=O)N[C@@H](Cc1ccccc1)[C@@H](O)C[C@@H](C)C(=O)N[C@H](C(=O)NCc1ccncc1)C(C)C,CHEMBL1146699,6.46,=,=,IC50,nM,350.0,CHEMBL4822,IC50,uM,0.35
,499672,CHEMBL653509,In vitro inhibitory activity against Beta-secretase 1 in human HEK293 cells,B,CC(C)[C@H](O)C(=O)N[C@@H](COC(C)(C)C)C(=O)N[C@@H](Cc1ccccc1)[C@@H](O)C[C@@H](C)C(=O)N[C@H](C(=O)NCc1ccncc1)C(C)C,CHEMBL1146699,5.35,=,=,IC50,nM,4490.0,CHEMBL4822,IC50,uM,4.49
,502163,CHEMBL653509,In vitro inhibitory activity against Beta-secretase 1 in human HEK293 cells,B,CC(C)[C@H](O)C(=O)N[C@H](C(=O)N[C@@H](Cc1ccccc1)[C@@H](O)C[C@@H](C)C(=O)N[C@H](C(=O)NCc1ccncc1)C(C)C)C(C)C,CHEMBL1146699,5.33,=,=,IC50,nM,4640.0,CHEMBL4822,IC50,uM,4.64
,503484,CHEMBL653509,In vitro inhibitory activity against Beta-secretase 1 in human HEK293 cells,B,CCC[C@H](NC(=O)[C@@H](O)C(C)C)C(=O)N[C@@H](Cc1ccccc1)[C@@H](O)C[C@@H](C)C(=O)N[C@H](C(=O)NCc1ccncc1)C(C)C,CHEMBL1146699,6.26,=,=,IC50,nM,550.0,CHEMBL4822,IC50,uM,0.55
,508329,CHEMBL653509,In vitro inhibitory activity against Beta-secretase 1 in human HEK293 cells,B,CSCC[C@H](NC(=O)[C@@H](O)C(C)C)C(=O)N[C@@H](Cc1ccccc1)[C@@H](O)C[C@@H](C)C(=O)N[C@H](C(=O)NCc1ccncc1)C(C)C,CHEMBL1146699,6.46,=,=,IC50,nM,350.0,CHEMBL4822,IC50,uM,0.35
